partID,measure,movement,leg,result_n,result_bw
A06,ResultantAngle,Step,Double,78.70455052846233,78.70455052846233
A06,ResultantAngle,Step,Single,94.33153128302898,94.33153128302898
A06,ResultantAngle,Dash,Double,88.0999243563538,88.0999243563538
A06,ResultantAngle,Dash,Single,93.84101045360819,93.84101045360819
A06,ResultantAngle,Kong,Double,75.23820176914863,75.23820176914863
A06,ResultantAngle,Kong,Single,98.23379817881244,98.23379817881244
A07,VertPeak,Drop,Double,1811.978119,2.2792177597484278
A07,VertPeak,Drop,Single,2489.870575,3.1319126729559748
A07,VertPeak,Step,Double,1634.714722,2.0562449333333332
A07,VertPeak,Step,Single,1934.795685,2.4337052641509436
A07,VertPeak,Dash,Double,2099.164658,2.640458689308176
A07,VertPeak,Dash,Single,1878.208862,2.3625268704402513
A07,VertPeak,Kong,Double,2373.714539,2.985804451572327
A07,VertPeak,Kong,Single,2367.119781,2.977509158490566
A07,VertRFD,Drop,Double,21649,27.231446540880505
A07,VertRFD,Drop,Single,24393,30.683018867924527
A07,VertRFD,Step,Double,34097,42.88930817610063
A07,VertRFD,Step,Single,16234,20.42012578616352
A07,VertRFD,Dash,Double,40449,50.87924528301887
A07,VertRFD,Dash,Single,23002,28.933333333333334
A07,VertRFD,Kong,Double,52302,65.78867924528302
A07,VertRFD,Kong,Single,27911,35.10817610062893
A07,HorzPeak,Drop,Double,393.986862,0.495580958490566
A07,HorzPeak,Drop,Single,153.169609,0.1926661748427673
A07,HorzPeak,Step,Double,396.113419,0.49825587295597484
A07,HorzPeak,Step,Single,99.094967,0.1246477572327044
A07,HorzPeak,Dash,Double,448.285522,0.5638811597484277
A07,HorzPeak,Dash,Single,55.208694,0.06944489811320755
A07,HorzPeak,Kong,Double,665.162048,0.8366818213836479
A07,HorzPeak,Kong,Single,369.071121,0.4642404037735849
A07,HorzRFD,Drop,Double,18734,23.564779874213837
A07,HorzRFD,Drop,Single,8684,10.923270440251573
A07,HorzRFD,Step,Double,19254,24.2188679245283
A07,HorzRFD,Step,Single,7824,9.841509433962264
A07,HorzRFD,Dash,Double,18938,23.821383647798744
A07,HorzRFD,Dash,Single,5771,7.259119496855346
A07,HorzRFD,Kong,Double,48224,60.65911949685535
A07,HorzRFD,Kong,Single,18535,23.31446540880503
A07,ResultantPeak,Drop,Double,1812.1316365753394,2.279410863616779
A07,ResultantPeak,Drop,Single,2580.6046440187715,3.2460435773821024
A07,ResultantPeak,Step,Double,1653.2283729096414,2.0795325445404296
A07,ResultantPeak,Step,Single,1959.0385018202817,2.464199373358845
A07,ResultantPeak,Dash,Double,2116.02777973482,2.6616701631884525
A07,ResultantPeak,Dash,Single,1879.903327083878,2.364658273061482
A07,ResultantPeak,Kong,Double,2452.5842405394037,3.0850116233200047
A07,ResultantPeak,Kong,Single,2428.6756588244125,3.0549379356281916
A07,ResultantAngle,Drop,Double,87.29949287675976,87.29949287675976
A07,ResultantAngle,Drop,Single,105.32442833953259,105.32442833953259
A07,ResultantAngle,Step,Double,80.4313973295136,80.4313973295136
A07,ResultantAngle,Step,Single,93.03538285728685,93.03538285728685
A07,ResultantAngle,Dash,Double,82.76173008510908,82.76173008510908
A07,ResultantAngle,Dash,Single,92.50682681948028,92.50682681948028
A07,ResultantAngle,Kong,Double,75.43026963348073,75.43026963348073
A07,ResultantAngle,Kong,Single,102.9273411353726,102.9273411353726
B08,VertPeak,Drop,Double,1936.554047,2.4267594573934836
B08,VertPeak,Drop,Single,2529.158203,3.1693711817042605
B08,VertPeak,Step,Double,1727.650421,2.1649754649122808
B08,VertPeak,Step,Single,1509.824707,1.892010911027569
B08,VertPeak,Dash,Double,1832.081146,2.295841035087719
B08,VertPeak,Dash,Single,1720.945709,2.1565735701754387
B08,VertPeak,Kong,Double,2397.61969,3.0045359523809525
B08,VertPeak,Kong,Single,2969.113403,3.7206934874686715
B08,VertRFD,Drop,Double,11818,14.80952380952381
B08,VertRFD,Drop,Single,15360,19.24812030075188
B08,VertRFD,Step,Double,14570,18.25814536340852
B08,VertRFD,Step,Single,11851,14.850877192982455
B08,VertRFD,Dash,Double,3786,4.7443609022556394
B08,VertRFD,Dash,Single,17604,22.06015037593985
B08,VertRFD,Kong,Double,131232,164.45112781954887
B08,VertRFD,Kong,Single,40082,50.228070175438596
B08,HorzPeak,Drop,Double,322.31517,0.4039037218045113
B08,HorzPeak,Drop,Single,84.941587,0.10644309147869674
B08,HorzPeak,Step,Double,373.720612,0.4683215689223058
B08,HorzPeak,Step,Single,101.617445,0.127340156641604
B08,HorzPeak,Dash,Double,414.800385,0.5197999812030075
B08,HorzPeak,Dash,Single,67.355274,0.08440510526315789
B08,HorzPeak,Kong,Double,680.906372,0.8532661303258146
B08,HorzPeak,Kong,Single,405.694885,0.5083895802005013
B08,HorzRFD,Drop,Double,2978,3.7318295739348373
B08,HorzRFD,Drop,Single,249,0.31203007518796994
B08,HorzRFD,Step,Double,3247,4.068922305764411
B08,HorzRFD,Step,Single,3807,4.7706766917293235
B08,HorzRFD,Dash,Double,3390,4.2481203007518795
B08,HorzRFD,Dash,Single,1172,1.468671679197995
B08,HorzRFD,Kong,Double,38271,47.95864661654135
B08,HorzRFD,Kong,Single,29760,37.29323308270677
B08,ResultantPeak,Drop,Double,1938.9519660549217,2.429764368489877
B08,ResultantPeak,Drop,Single,2573.198143213155,3.2245590767082146
B08,ResultantPeak,Step,Double,1728.5990815234393,2.166164262560701
B08,ResultantPeak,Step,Single,1521.9527171054742,1.907208918678539
B08,ResultantPeak,Dash,Double,1866.262439152883,2.3386747357805553
B08,ResultantPeak,Dash,Single,1733.5408830427111,2.1723569962941243
B08,ResultantPeak,Kong,Double,2493.7571038474002,3.1250089020644114
B08,ResultantPeak,Kong,Single,3061.000957154663,3.835840798439427
B08,ResultantAngle,Drop,Double,87.15018851362647,87.15018851362647
B08,ResultantAngle,Drop,Single,103.23808536782029,103.23808536782029
B08,ResultantAngle,Step,Double,78.67381747967326,78.67381747967326
B08,ResultantAngle,Step,Single,98.89627819540718,98.89627819540718
B08,ResultantAngle,Dash,Double,76.94906133403785,76.94906133403785
B08,ResultantAngle,Dash,Single,96.91092171689304,96.91092171689304
B08,ResultantAngle,Kong,Double,74.59694996037841,74.59694996037841
B08,ResultantAngle,Kong,Single,103.71869804581806,103.71869804581806
B09,VertPeak,Drop,Double,2391.11438,2.955642002472188
B09,VertPeak,Drop,Single,2405.303238,2.973180763906057
B09,VertPeak,Step,Double,2088.171204,2.5811757775030904
B09,VertPeak,Step,Single,2077.883453,2.568459150803461
B09,VertPeak,Dash,Double,1990.51413,2.460462459826947
B09,VertPeak,Dash,Single,1874.871277,2.3175170296662544
B09,VertPeak,Kong,Double,3351.354736,4.142589290482077
B09,VertPeak,Kong,Single,2189.038086,2.705856719406675
B09,VertRFD,Drop,Double,191283,236.44375772558715
B09,VertRFD,Drop,Single,23777,29.39060568603214
B09,VertRFD,Step,Double,19555,24.171817058096416
B09,VertRFD,Step,Single,22156,27.38689740420272
B09,VertRFD,Dash,Double,138063,170.65883807169345
B09,VertRFD,Dash,Single,24853,30.720642768850432
B09,VertRFD,Kong,Double,357995,442.51545117428924
B09,VertRFD,Kong,Single,29212,36.108776266996294
B09,HorzPeak,Drop,Double,679.180878,0.839531369592089
B09,HorzPeak,Drop,Single,337.320618,0.4169599728059333
B09,HorzPeak,Step,Double,466.154114,0.5762102768850432
B09,HorzPeak,Step,Single,212.026093,0.2620841693448702
B09,HorzPeak,Dash,Double,554.064484,0.6848757527812114
